11,3980917788
225,3980980557
348,3981021415
447,3981063887
824,3981212119
876,3981224214
967,3981249616
1613,3981428352
1677,3981451004
2696,3981788957
2784,3981812340
3235,3981954770
3403,3982028170
4763,3982476118
5182,3982669900
5233,3982686733
5374,3982723339
7126,3983336422
7197,3983362665
7420,3983445747
8236,3983789601
8357,3983828571
8608,3983916340
9482,3984315616
9657,3984370646
10114,3984514731
10188,3984539251
10347,3984599058
12327,3985421138
18440,3987550521
18724,3987634343
19477,3987911846
22876,3989033951
22935,3989048300
23355,3989173688
23425,3989200214
23556,3989255449
24233,3989463722
24339,3989489421
24388,3989502807
24439,3989514318
24471,3989522725
24629,3989567964
24799,3989619852
24860,3989640063
24911,3989657497
25494,3989851386
25551,3989862677
25659,3989885930
25787,3989914922
25904,3989945633
31630,3991531251
35008,3992620966
36116,3993008593
36279,3993064738
36313,3993077325
36433,3993128320
36951,3993331662
37097,3993365769
37398,3993444383
37433,3993454463
38370,3993777001
38465,3993802665
38515,3993816233
38670,3993855582
40806,3994541165
40821,3994548059
40836,3994554488
40851,3994561742
40866,3994568841
40882,3994576234
40897,3994583820
40912,3994589536
40927,3994596031
40942,3994603289
40957,3994609253
40972,3994615497
40987,3994622662
41002,3994630717
41017,3994636814
41032,3994640942
41047,3994643700
41062,3994653689
41077,3994658484
41092,3994673677
41107,3994684246
41122,3994688455
41137,3994693341
41153,3994699104
41168,3994703210
41183,3994707295
41219,3994719315
